facility_code,facility_name,facility_name_short,first_nation_name,day_of_week,day_name,day_name_long,time_band,busyness_score,waiting_count,median_wait_all,median_wait_high_acuity,treatment_spaces,facility_type,open_hours,open_days,alert_active,alert_message,latitude,longitude
62,,,,2,Tue,Tuesday,4,0.7,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,7,2.7,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,8,2.3,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,20,6.0,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,19,6.1,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,0,2.8,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,15,3.6,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,21,4.5,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,23,3.6,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,1,2.5,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,9,3.6,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,13,3.2,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,14,3.6,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,17,4.9,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,10,3.9,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,12,3.3,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,18,5.2,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,3,0.6,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,6,1.6,12,21,-,,,,,,,,
68,,,,2,Tue,Tuesday,7,1.3,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,19,4.1,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,3,1.1,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,12,4.4,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,2,1.4,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,5,0.6,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,9,4.1,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,20,3.4,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,16,3.0,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,11,4.2,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,10,4.0,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,15,3.5,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,14,3.3,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,23,2.7,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,21,2.7,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,0,1.9,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,1,1.5,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,17,3.4,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,18,4.0,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,13,3.7,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,22,2.5,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,4,0.7,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,6,0.6,4,6,-,,,,,,,,
68,,,,2,Tue,Tuesday,8,2.1,4,6,-,,,,,,,,
69,,,,2,Tue,Tuesday,9,2.6,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,12,5.1,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,18,3.6,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,16,3.2,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,10,3.5,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,6,2.0,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,14,2.5,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,22,3.4,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,23,2.9,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,0,3.9,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,5,2.0,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,15,2.6,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,3,2.7,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,21,4.0,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,2,2.7,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,1,3.2,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,20,3.7,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,7,2.5,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,17,4.0,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,8,1.9,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,4,2.4,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,11,4.2,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,13,3.2,12,13,-,,,,,,,,
69,,,,2,Tue,Tuesday,19,3.7,12,13,-,,,,,,,,
70,,,,2,Tue,Tuesday,0,0.7,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,20,2.3,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,2,0.6,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,7,2.0,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,8,2.7,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,21,2.5,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,3,0.7,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,23,2.2,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,22,2.0,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,1,0.7,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,5,0.9,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,11,4.5,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,13,4.1,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,9,4.6,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,14,4.1,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,19,1.9,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,6,0.8,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,12,3.9,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,4,0.7,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,17,3.3,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,16,3.4,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,15,3.2,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,18,2.4,3,-,-,,,,,,,,
70,,,,2,Tue,Tuesday,10,4.5,3,-,-,,,,,,,,
71,,,,2,Tue,Tuesday,0,1.7,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,12,6.1,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,21,2.9,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,2,0.8,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,4,0.7,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,11,5.4,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,20,3.3,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,10,3.8,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,9,2.6,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,5,0.4,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,13,5.6,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,14,3.8,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,16,3.6,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,18,3.3,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,22,2.5,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,1,1.1,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,17,3.5,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,6,1.2,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,8,1.8,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,19,3.8,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,23,2.1,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,7,1.3,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,15,3.4,1,12,10,,,,,,,,
71,,,,2,Tue,Tuesday,3,0.6,1,12,10,,,,,,,,
104,,,,2,Tue,Tuesday,1,4.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,19,8.5,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,15,7.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,6,2.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,10,4.3,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,9,4.5,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,5,1.9,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,8,2.5,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,12,7.7,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,21,8.4,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,2,3.1,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,16,6.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,22,6.4,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,23,5.1,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,0,5.4,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,7,3.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,14,7.0,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,11,6.2,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,18,7.9,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,3,2.1,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,13,7.1,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,17,7.3,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,20,8.0,4,32,-,,,,,,,,
104,,,,2,Tue,Tuesday,4,1.9,4,32,-,,,,,,,,
136,,,,2,Tue,Tuesday,20,2.1,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,0,0.6,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,1,0.3,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,16,1.5,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,2,0.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,4,0.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,9,2.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,12,3.3,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,22,1.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,21,1.4,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,13,2.9,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,7,1.0,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,8,1.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,19,2.3,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,15,1.6,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,14,2.0,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,5,0.5,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,18,2.7,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,3,0.2,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,6,0.6,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,10,2.7,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,17,2.7,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,11,2.7,0,16,13,,,,,,,,
136,,,,2,Tue,Tuesday,23,1.1,0,16,13,,,,,,,,
141,,,,2,Tue,Tuesday,14,6.9,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,0,3.9,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,1,2.7,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,3,1.4,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,5,1.5,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,20,6.6,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,7,2.0,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,15,6.4,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,9,4.0,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,21,6.3,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,16,5.1,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,19,6.6,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,2,2.2,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,6,1.3,3,14,13,,,,,,,,
141,,,,2,Tue,Tuesday,4,1.4,3,14,13,,,,,,,,
